GeneID,GSM6287835,GSM6287836,GSM6287837,GSM6287838,GSM6287839,GSM6287840,GSM6287841,GSM6287842,GSM6287843,GSM6287844,GSM6287845
100287102,6,25,2,3,8,8,4,5,10,5,12
653635,491,872,578,280,1265,629,1160,2075,1204,433,1023
102466751,6,7,14,4,2,1,44,56,17,19,16
107985730,0,0,2,0,0,1,0,2,0,0,2
100302278,0,0,0,0,0,0,0,1,2,0,0
645520,0,0,0,0,0,0,0,0,0,0,0
79501,0,1,0,0,1,0,0,0,0,0,0
100996442,38,10,18,10,10,11,96,164,56,24,59
729737,322,348,937,465,296,258,2657,6426,1408,453,1749
102725121,2,2,1,3,2,2,3,2,4,1,2
102723897,692,1215,692,324,1436,821,1306,2066,1652,702,1228
102465909,4,3,12,2,3,2,30,31,15,8,7
107985721,0,0,1,1,4,0,11,2,0,0,4
112268260,5,0,15,10,9,0,77,104,34,9,32
729759,0,0,0,1,0,0,2,5,1,1,2
100132287,131,104,371,195,127,97,1065,2077,779,266,701
105378947,0,0,1,0,0,0,0,2,1,0,0
101928626,0,0,0,0,0,0,1,0,0,0,3
113219467,24731,74365,22870,13598,73776,45063,25597,15542,84041,33916,44908
81399,3,0,0,4,0,0,13,19,5,4,3
100133331,109,87,231,133,107,108,773,1323,582,198,499
107984841,11,12,2,1,3,21,40,90,12,3,9
107984847,20,21,4,2,9,7,70,198,16,2,7
107984849,5,0,1,0,0,3,22,84,0,2,4
100288069,18,0,5,4,20,6,31,63,15,8,14
105378580,6,0,5,4,1,7,30,17,34,14,10
400728,9,10,4,9,10,0,10,16,28,8,31
79854,5,0,9,4,0,3,59,66,22,13,13
643837,129,205,214,124,254,219,652,927,926,370,376
107984850,0,0,0,0,0,0,0,0,0,2,0
284593,2,1,3,3,1,0,7,1,41,16,16
284600,0,0,0,2,0,0,0,1,1,0,0
100130417,1,1,0,0,0,0,0,1,0,0,0
107985728,0,0,0,0,0,1,0,0,0,0,0
148398,188,665,153,84,486,331,173,285,420,173,306
26155,500,899,1053,470,981,701,1990,2956,2590,1206,2036
339451,45,48,61,30,111,85,168,328,182,59,118
84069,3,6,6,0,4,10,2,4,18,0,4
84808,3,6,1,0,5,6,0,4,3,0,4
57801,14,43,4,2,49,24,11,24,96,22,12
9636,571,2716,358,176,966,1005,286,355,894,379,428
375790,609,1516,1079,454,1245,910,2485,3453,2279,1032,1856
100288175,68,189,35,8,198,86,67,75,296,236,71
112267874,11,16,14,1,14,6,21,24,61,44,4
105378948,66,195,39,8,209,86,69,73,271,192,44
401934,0,0,0,0,0,0,0,0,0,0,0
54991,98,163,120,51,153,87,171,253,285,116,140
254099,0,0,0,0,0,0,0,0,0,0,0
406984,0,0,0,0,0,0,0,0,0,0,0
406983,0,0,0,0,0,0,0,0,0,0,0
554210,0,0,0,0,0,0,0,0,0,0,0
100506376,0,0,0,0,0,0,1,0,0,0,0
254173,0,0,0,0,1,0,1,0,1,1,0
8784,47,487,53,6,115,219,37,29,208,132,93
7293,111,1382,254,66,281,835,352,317,491,934,588
51150,1291,2043,3826,1636,2397,1498,7397,11081,7422,3527,6041
126792,488,1675,859,397,1549,994,905,729,2159,912,1523
388581,4,2,4,0,5,25,10,29,14,9,6
118424,439,921,854,448,767,628,1352,2077,1978,966,1509
101928895,10,48,12,7,78,0,32,41,24,7,11
6339,10,0,3,9,25,21,41,67,17,8,8
116983,253,668,421,291,498,369,901,1760,613,292,697
102465434,0,0,0,0,0,0,2,1,1,0,0
109623456,0,0,0,0,2,0,2,1,0,0,2
126789,182,615,213,138,606,419,303,515,411,166,318
